ticker,index,weight,isin,name,sector,exchange
AAPL,spy,6.35,US0378331005,apple inc,Information Technology,NASDAQ
MSFT,spy,5.37,US5949181045,microsoft corp,Information Technology,NASDAQ
AMZN,spy,4.47,US0231351067,amazon com inc,Consumer Discretionary,NASDAQ
FB,spy,2.21,US30303M1027,facebook class a inc,Communication,NASDAQ
GOOGL,spy,1.75,US02079K3059,alphabet inc class a,Communication,NASDAQ
GOOG,spy,1.71,US02079K1079,alphabet inc class c,Communication,NASDAQ
BRKB,spy,1.51,US0846707026,berkshire hathaway inc class b,Financials,New York Stock Exchange Inc.
JNJ,spy,1.26,US4781601046,johnson & johnson,Health Care,New York Stock Exchange Inc.
JPM,spy,1.19,US46625H1005,jpmorgan chase & co,Financials,New York Stock Exchange Inc.
V,spy,1.18,US92826C8394,visa inc class a,Information Technology,New York Stock Exchange Inc.
PG,spy,1.15,US7427181091,procter & gamble,Consumer Staples,New York Stock Exchange Inc.
NVDA,spy,1.1,US67066G1040,nvidia corp,Information Technology,NASDAQ
UNH,spy,1.06,US91324P1021,unitedhealth group inc,Health Care,New York Stock Exchange Inc.
HD,spy,0.99,US4370761029,home depot inc,Consumer Discretionary,New York Stock Exchange Inc.
MA,spy,0.99,US57636Q1040,mastercard inc class a,Information Technology,New York Stock Exchange Inc.
DIS,spy,0.89,US2546871060,walt disney,Communication,New York Stock Exchange Inc.
PYPL,spy,0.83,US70450Y1038,paypal holdings inc,Information Technology,NASDAQ
VZ,spy,0.83,US92343V1044,verizon communications inc,Communication,New York Stock Exchange Inc.
ADBE,spy,0.76,US00724F1012,adobe inc,Information Technology,NASDAQ
CMCSA,spy,0.76,US20030N1019,comcast corp class a,Communication,NASDAQ
CRM,spy,0.74,US79466L3024,salesforce.com inc,Information Technology,New York Stock Exchange Inc.
NFLX,spy,0.72,US64110L1061,netflix inc,Communication,NASDAQ
BAC,spy,0.71,US0605051046,bank of america corp,Financials,New York Stock Exchange Inc.
PFE,spy,0.71,US7170811035,pfizer inc,Health Care,New York Stock Exchange Inc.
WMT,spy,0.7,US9311421039,walmart inc,Consumer Staples,New York Stock Exchange Inc.
INTC,spy,0.68,US4581401001,intel corporation corp,Information Technology,NASDAQ
T,spy,0.68,US00206R1023,at&t inc,Communication,New York Stock Exchange Inc.
MRK,spy,0.67,US58933Y1055,merck & co inc,Health Care,New York Stock Exchange Inc.
PEP,spy,0.66,US7134481081,pepsico inc,Consumer Staples,NASDAQ
KO,spy,0.66,US1912161007,coca-cola,Consumer Staples,New York Stock Exchange Inc.
ABT,spy,0.64,US0028241000,abbott laboratories,Health Care,New York Stock Exchange Inc.
ABBV,spy,0.61,US00287Y1091,abbvie inc,Health Care,New York Stock Exchange Inc.
TMO,spy,0.61,US8835561023,thermo fisher scientific inc,Health Care,New York Stock Exchange Inc.
